"Date","Price","Open","High","Low","Vol.","Change %"
"09-02-2024","1,460.75","1,454.00","1,471.97","1,450.95","12.56M","0.73%"
"08-02-2024","1,450.13","1,450.00","1,459.47","1,427.53","14.69M","0.55%"
"07-02-2024","1,442.15","1,435.93","1,449.50","1,429.25","9.30M","1.01%"
"06-02-2024","1,427.80","1,441.85","1,441.85","1,419.82","9.05M","-0.78%"
"05-02-2024","1,439.03","1,460.75","1,470.50","1,431.53","8.81M","-1.28%"
"02-02-2024","1,457.70","1,433.18","1,474.90","1,433.18","19.65M","2.18%"
"01-02-2024","1,426.65","1,435.00","1,443.35","1,418.05","13.35M","0.00%"
"31-01-2024","1,426.63","1,404.00","1,434.25","1,402.50","15.13M","1.35%"
"30-01-2024","1,407.63","1,459.95","1,459.97","1,404.43","14.09M","-2.79%"
"29-01-2024","1,448.05","1,364.50","1,452.50","1,360.18","23.89M","7.02%"
"25-01-2024","1,353.07","1,342.95","1,364.15","1,335.20","11.81M","0.68%"
"24-01-2024","1,343.88","1,335.22","1,349.50","1,323.93","21.92M","1.15%"
"23-01-2024","1,328.57","1,371.75","1,371.75","1,322.55","20.06M","-2.07%"
"20-01-2024","1,356.65","1,365.00","1,383.47","1,350.00","7.28M","-0.79%"
"19-01-2024","1,367.45","1,376.00","1,376.00","1,359.00","10.42M","-0.04%"
"18-01-2024","1,367.95","1,351.40","1,371.00","1,351.25","10.28M","0.47%"
"17-01-2024","1,361.57","1,359.50","1,386.28","1,355.03","12.20M","-0.95%"
"16-01-2024","1,374.63","1,389.97","1,396.30","1,370.50","9.07M","-1.40%"
"15-01-2024","1,394.13","1,375.00","1,396.45","1,366.00","8.61M","1.71%"
"12-01-2024","1,370.72","1,359.90","1,373.32","1,345.75","15.01M","0.80%"
"11-01-2024","1,359.90","1,329.50","1,362.50","1,328.50","23.73M","2.63%"
"10-01-2024","1,325.05","1,288.50","1,329.50","1,287.53","11.10M","2.70%"
"09-01-2024","1,290.25","1,300.00","1,303.40","1,288.60","5.40M","-0.26%"
"08-01-2024","1,293.68","1,305.00","1,315.97","1,284.47","7.73M","-0.78%"
"05-01-2024","1,303.85","1,301.45","1,309.93","1,299.00","8.09M","0.43%"
"04-01-2024","1,298.32","1,294.00","1,304.93","1,289.55","9.61M","0.52%"
"03-01-2024","1,291.65","1,305.00","1,317.00","1,288.60","9.04M","-1.09%"
"02-01-2024","1,305.85","1,292.50","1,307.50","1,286.50","7.45M","0.83%"
"01-01-2024","1,295.13","1,290.28","1,303.43","1,286.57","4.03M","0.21%"
"29-12-2023","1,292.47","1,305.55","1,307.00","1,289.65","10.86M","-0.79%"
"28-12-2023","1,302.78","1,294.90","1,306.00","1,293.43","12.30M","0.72%"
"27-12-2023","1,293.43","1,291.00","1,299.95","1,286.55","9.20M","0.34%"
"26-12-2023","1,289.03","1,284.00","1,295.97","1,281.35","7.47M","0.51%"
"22-12-2023","1,282.53","1,279.80","1,290.45","1,273.82","16.54M","0.10%"
"21-12-2023","1,281.28","1,263.50","1,286.75","1,259.13","13.77M","1.40%"
"20-12-2023","1,263.57","1,285.53","1,299.43","1,260.00","17.74M","-1.21%"
"19-12-2023","1,279.05","1,277.50","1,286.95","1,262.60","16.82M","1.47%"
"18-12-2023","1,260.50","1,247.80","1,267.45","1,245.47","14.17M","1.02%"
"15-12-2023","1,247.80","1,239.00","1,250.00","1,235.03","15.93M","1.28%"
"14-12-2023","1,232.07","1,227.00","1,237.47","1,221.32","16.97M","1.24%"
"13-12-2023","1,216.97","1,211.00","1,219.18","1,203.15","10.03M","0.41%"
"12-12-2023","1,212.03","1,230.00","1,232.47","1,210.07","9.20M","-1.44%"
"11-12-2023","1,229.68","1,228.00","1,233.80","1,226.20","7.07M","0.15%"
"08-12-2023","1,227.88","1,231.93","1,238.35","1,222.50","10.20M","-0.05%"
"07-12-2023","1,228.53","1,230.00","1,230.47","1,221.00","8.14M","-0.16%"
"06-12-2023","1,230.55","1,223.55","1,236.47","1,217.50","16.42M","0.96%"
"05-12-2023","1,218.88","1,219.50","1,220.43","1,210.82","12.69M","0.73%"
"04-12-2023","1,210.10","1,225.00","1,225.00","1,199.30","15.59M","1.08%"
"01-12-2023","1,197.15","1,189.00","1,198.20","1,188.80","14.34M","0.71%"
"30-11-2023","1,188.72","1,197.35","1,200.35","1,184.95","28.44M","-0.97%"
"29-11-2023","1,200.35","1,204.00","1,205.97","1,199.03","12.53M","0.26%"
"28-11-2023","1,197.20","1,196.95","1,199.85","1,187.63","13.79M","0.02%"
"24-11-2023","1,196.95","1,195.80","1,201.30","1,195.53","6.75M","-0.07%"
"23-11-2023","1,197.75","1,194.10","1,200.00","1,194.10","8.53M","0.31%"
"22-11-2023","1,194.10","1,187.50","1,197.22","1,186.10","8.53M","0.39%"
"21-11-2023","1,189.45","1,183.00","1,194.00","1,180.10","8.21M","1.26%"
"20-11-2023","1,174.68","1,174.28","1,179.20","1,168.20","4.49M","-0.26%"
