"Date","Price","Open","High","Low","Vol.","Change %"
"28-08-2023","3,359.98","3,378.35","3,378.35","3,344.60","1.04M","-0.17%"
"25-08-2023","3,365.71","3,359.44","3,370.19","3,334.80","1.16M","-0.19%"
"24-08-2023","3,372.13","3,392.28","3,397.31","3,362.52","1.15M","-0.31%"
"23-08-2023","3,382.58","3,372.38","3,386.31","3,360.43","1.33M","0.48%"
"22-08-2023","3,366.55","3,384.32","3,395.27","3,349.53","1.22M","-0.57%"
"21-08-2023","3,385.96","3,359.44","3,394.02","3,356.45","1.38M","1.03%"
"18-08-2023","3,351.57","3,394.27","3,394.27","3,341.02","2.53M","-2.00%"
"17-08-2023","3,419.90","3,439.07","3,444.84","3,397.46","1.84M","-0.65%"
"16-08-2023","3,442.45","3,434.09","3,450.01","3,419.36","1.33M","0.25%"
"14-08-2023","3,433.94","3,424.83","3,439.07","3,395.27","1.19M","0.03%"
"11-08-2023","3,432.89","3,422.24","3,450.66","3,398.25","1.68M","0.19%"
"10-08-2023","3,426.23","3,434.09","3,448.92","3,414.23","1.10M","-0.59%"
"09-08-2023","3,446.53","3,448.92","3,451.01","3,409.25","1.79M","-0.23%"
