"Date","Price","Open","High","Low","Vol.","Change %"
"09-11-2023","938.10","953.00","953.70","933.50","359.92K","-0.90%"
"08-11-2023","946.65","934.95","950.60","932.00","492.82K","1.56%"
"07-11-2023","932.15","934.70","953.25","916.85","919.79K","0.61%"
"06-11-2023","926.50","909.90","929.80","908.00","619.39K","2.64%"
"03-11-2023","902.70","898.95","907.30","897.00","286.93K","1.19%"
"02-11-2023","892.10","894.00","912.95","884.00","510.41K","1.35%"
"01-11-2023","880.25","914.70","921.70","876.00","551.73K","-3.44%"
"31-10-2023","911.65","920.00","933.35","904.00","713.14K","-0.39%"
"30-10-2023","915.25","875.00","939.80","868.45","2.04M","5.09%"
"27-10-2023","870.90","852.85","896.60","852.85","902.42K","2.68%"
"26-10-2023","848.15","866.50","869.60","815.55","1.14M","-3.20%"
"25-10-2023","876.15","881.00","899.00","863.75","464.13K","-0.53%"
"23-10-2023","880.80","928.00","929.95","875.00","695.29K","-4.28%"
"20-10-2023","920.15","938.50","946.80","915.75","625.76K","-1.38%"
"19-10-2023","933.00","937.00","942.95","922.35","291.74K","-0.64%"
"18-10-2023","939.05","949.40","953.95","937.00","281.56K","-1.01%"
"17-10-2023","948.65","949.95","958.45","945.20","363.32K","1.05%"
"16-10-2023","938.80","950.00","956.60","936.00","376.85K","-1.06%"
"13-10-2023","948.90","949.95","952.50","941.70","290.19K","0.03%"
"12-10-2023","948.65","965.95","969.95","945.15","353.63K","-1.43%"
"11-10-2023","962.45","949.65","970.85","946.30","775.85K","2.42%"
"10-10-2023","939.75","941.05","949.00","938.00","356.18K","0.09%"
"09-10-2023","938.95","955.00","955.00","935.65","574.85K","-2.32%"
"06-10-2023","961.25","965.00","968.95","958.55","359.02K","0.17%"
"05-10-2023","959.65","978.95","982.10","955.00","451.21K","-1.26%"
"04-10-2023","971.90","975.05","997.40","965.25","755.64K","-0.21%"
"03-10-2023","973.95","995.10","997.95","970.00","500.85K","-1.34%"
"29-09-2023","987.15","1,005.05","1,011.95","984.00","895.63K","-2.50%"
"28-09-2023","1,012.45","1,020.00","1,021.25","1,001.00","3.91M","-0.62%"
"27-09-2023","1,018.75","1,000.00","1,020.00","998.00","5.38M","0.64%"
"26-09-2023","1,012.30","1,016.60","1,016.60","999.00","5.54M","-0.15%"
"25-09-2023","1,013.80","1,021.95","1,021.95","1,002.40","4.65M","-0.49%"
"22-09-2023","1,018.80","1,025.00","1,025.45","999.00","6.84M","-0.45%"
"21-09-2023","1,023.45","1,017.45","1,026.00","1,007.90","8.25M","1.44%"
"20-09-2023","1,008.95","1,004.95","1,025.25","988.15","7.66M","0.40%"
"18-09-2023","1,004.95","1,015.00","1,029.95","1,001.00","5.21M","-0.15%"
"15-09-2023","1,006.45","990.00","1,012.00","983.80","1.39M","2.30%"
"14-09-2023","983.80","990.95","999.95","982.00","466.90K","-0.20%"
"13-09-2023","985.80","1,002.75","1,002.90","967.00","962.20K","-1.89%"
"12-09-2023","1,004.80","1,021.95","1,026.95","985.00","7.83M","-0.97%"
"11-09-2023","1,014.65","1,017.95","1,025.85","1,002.80","7.21M","1.34%"
"08-09-2023","1,001.20","1,002.65","1,012.35","998.00","5.25M","-0.14%"
"07-09-2023","1,002.65","1,009.85","1,015.15","995.00","5.11M","-0.34%"
"06-09-2023","1,006.10","963.00","1,015.00","954.00","7.45M","4.57%"
"05-09-2023","962.10","959.20","968.50","951.70","5.11M","0.30%"
"04-09-2023","959.20","952.90","964.00","942.00","4.89M","1.06%"
"01-09-2023","949.10","928.60","957.00","905.15","4.10M","2.20%"
"31-08-2023","928.65","932.05","959.85","920.70","4.44M","-4.31%"
"30-08-2023","970.50","974.50","977.85","966.00","705.10K","-0.41%"
"29-08-2023","974.50","984.05","985.00","963.05","1.47M","-0.57%"
"28-08-2023","980.10","997.10","998.50","965.60","650.63K","0.07%"
"25-08-2023","979.45","985.40","995.00","973.00","589.83K","-0.43%"
"24-08-2023","983.65","985.00","1,001.95","977.10","949.99K","1.25%"
"23-08-2023","971.50","1,020.80","1,024.80","953.00","1.55M","-4.30%"
"22-08-2023","1,015.10","1,029.90","1,044.85","1,009.15","1.86M","-0.49%"
"21-08-2023","1,020.05","1,006.40","1,035.00","1,003.40","2.53M","2.54%"
"18-08-2023","994.75","940.55","1,024.95","938.15","5.52M","6.56%"
"17-08-2023","933.50","955.00","959.65","930.00","1.20M","-1.58%"
"16-08-2023","948.50","956.60","962.75","942.80","812.63K","-0.29%"
"14-08-2023","951.25","950.00","958.80","940.10","1.04M","-2.07%"
"11-08-2023","971.35","979.05","988.00","967.05","816.24K","-0.26%"
"10-08-2023","973.90","976.65","988.00","970.45","1.20M","0.27%"
"09-08-2023","971.30","994.90","1,003.00","960.10","1.69M","-1.32%"
"08-08-2023","984.30","977.70","1,014.80","973.40","3.86M","1.90%"
"07-08-2023","965.90","1,015.90","1,018.50","885.10","9.34M","-4.61%"
"04-08-2023","1,012.55","1,041.70","1,062.25","1,008.15","924.38K","-2.26%"
"03-08-2023","1,036.00","1,052.45","1,067.00","1,028.05","2.56M","-1.56%"
"02-08-2023","1,052.45","1,087.00","1,094.00","1,045.05","1.25M","-3.18%"
"01-08-2023","1,087.05","1,115.00","1,131.85","1,083.80","2.14M","-0.57%"
"31-07-2023","1,093.30","1,109.00","1,137.90","1,080.00","3.15M","0.06%"
"28-07-2023","1,092.60","1,129.00","1,134.80","1,085.00","1.52M","-2.38%"
"27-07-2023","1,119.20","1,148.00","1,172.50","1,111.20","2.03M","-1.86%"
"26-07-2023","1,140.40","1,114.00","1,184.85","1,100.00","6.35M","4.81%"
"25-07-2023","1,088.05","990.00","1,088.05","990.00","3.65M","10.00%"
"24-07-2023","989.15","998.95","1,004.95","986.15","479.40K","-0.64%"
"21-07-2023","995.55","985.00","1,000.00","979.70","729.19K","1.07%"
"20-07-2023","985.00","981.95","991.70","977.15","821.31K","0.55%"
"19-07-2023","979.65","982.00","988.00","971.10","735.70K","0.61%"
"18-07-2023","973.75","968.00","1,020.00","957.10","2.25M","0.88%"
"17-07-2023","965.30","970.15","979.00","961.00","754.57K","0.01%"
"14-07-2023","965.20","952.95","968.30","945.95","618.58K","1.92%"
"13-07-2023","947.05","960.00","970.00","945.00","542.92K","-0.79%"
"12-07-2023","954.55","963.05","969.45","950.00","550.40K","-1.10%"
"11-07-2023","965.15","952.00","973.00","946.00","603.87K","0.59%"
"10-07-2023","959.45","959.85","973.00","935.25","828.42K","0.89%"
"07-07-2023","951.00","962.80","964.90","946.00","585.95K","-1.16%"
"06-07-2023","962.20","950.95","972.90","948.40","799.35K","1.48%"
"05-07-2023","948.20","946.00","956.20","941.00","567.90K","0.23%"
"04-07-2023","946.00","942.90","952.80","938.45","572.04K","0.33%"
"03-07-2023","942.85","955.85","956.95","940.00","634.38K","-0.32%"
"30-06-2023","945.90","961.65","966.60","938.25","1.33M","-1.12%"
"28-06-2023","956.65","959.85","963.45","897.70","55.12M","-0.30%"
"27-06-2023","959.55","970.95","977.85","956.10","415.94K","-0.92%"
"26-06-2023","968.45","940.00","973.90","925.00","6.00M","0.90%"
"23-06-2023","959.85","973.00","973.00","938.00","5.56M","-1.54%"
"22-06-2023","974.85","979.70","982.80","967.45","4.56M","-0.22%"
"21-06-2023","977.00","963.95","982.00","954.20","4.20M","1.59%"
"20-06-2023","961.70","961.00","967.00","952.00","320.09K","0.14%"
"19-06-2023","960.35","982.85","984.00","957.85","430.17K","-1.51%"
"16-06-2023","975.05","967.95","987.00","963.40","1.95M","1.29%"
"15-06-2023","962.60","952.50","991.00","951.00","969.06K","0.52%"
"14-06-2023","957.65","955.00","961.00","948.10","381.84K","0.25%"
"13-06-2023","955.30","961.00","963.90","946.05","476.25K","-0.60%"
"12-06-2023","961.10","968.95","970.00","955.00","431.40K","-0.26%"
"09-06-2023","963.65","972.00","977.00","961.25","416.99K","-1.27%"
"08-06-2023","976.00","987.00","993.40","971.00","636.88K","-0.97%"
"07-06-2023","985.55","1,006.85","1,010.00","982.00","1.25M","-0.64%"
"06-06-2023","991.85","990.00","996.00","980.00","4.00M","0.40%"
"05-06-2023","987.85","989.65","995.00","983.00","3.60M","0.44%"
"02-06-2023","983.55","992.00","992.00","975.90","3.71M","-1.05%"
"01-06-2023","993.95","997.25","1,011.00","984.00","4.64M","1.66%"
"31-05-2023","977.70","960.00","998.00","933.75","6.23M","1.12%"
"30-05-2023","966.85","984.85","984.85","954.00","2.69M","-1.12%"
"29-05-2023","977.85","989.90","989.90","965.10","3.18M","1.51%"
"26-05-2023","963.35","979.55","982.00","960.00","866.20K","-0.75%"
"25-05-2023","970.65","982.40","995.00","954.10","1.89M","-1.38%"
"24-05-2023","984.25","1,025.00","1,038.20","952.60","7.44M","-0.46%"
"23-05-2023","988.80","988.80","988.80","988.80","228.54K","5.00%"
"22-05-2023","941.75","934.00","941.75","928.95","460.73K","4.99%"
"19-05-2023","896.95","839.00","903.55","818.60","2.85M","4.23%"
"18-05-2023","860.55","886.55","887.40","850.00","646.07K","-1.70%"
"17-05-2023","875.40","885.00","888.85","867.05","781.90K","0.14%"
"16-05-2023","874.15","868.95","899.95","868.00","822.42K","0.63%"
"15-05-2023","868.70","905.00","913.80","864.00","868.70K","-3.00%"
"12-05-2023","895.60","920.00","920.00","894.25","749.88K","-1.96%"
"11-05-2023","913.55","904.40","925.00","904.40","1.06M","1.24%"
"10-05-2023","902.35","890.00","905.00","885.00","3.68M","-0.09%"
"09-05-2023","903.15","917.30","928.90","899.35","3.48M","-1.54%"
"08-05-2023","917.30","922.00","925.95","903.30","3.41M","-2.47%"
"05-05-2023","940.55","946.95","957.65","933.00","3.27M","-0.53%"
"04-05-2023","945.55","936.00","950.00","933.50","3.39M","0.37%"
"03-05-2023","942.05","972.00","980.00","928.95","1.87M","-3.34%"
"02-05-2023","974.65","994.75","998.55","951.15","3.32M","2.49%"
"28-04-2023","951.00","926.80","960.00","922.10","2.76M","3.70%"
"27-04-2023","917.05","924.60","925.00","907.05","695.99K","-0.82%"
"26-04-2023","924.60","934.80","953.30","920.00","1.63M","-0.70%"
"25-04-2023","931.15","870.00","931.45","864.90","2.31M","4.97%"
"24-04-2023","887.10","916.20","916.25","880.00","1.45M","-3.18%"
"21-04-2023","916.20","937.00","938.00","911.30","727.25K","-1.81%"
